 "L-L-N-L", "normal", 75, 75, 100, 30, 82, 0.82, 22.98780487804878, 64.8394608318582, 96.06170618497812, 23.646341463414632, 0.9721505930892214, 42.666666666666664, 16.73170731707317, 3, 30, 16, 14, 0, 2000, 50000
 "L-L-N-L", "normal", 75, 75, 100, 30, 76, 0.76, 25.763157894736842, 59.054761127545454, 97.09152352186936, 26.31578947368421, 0.9790000000000001, 54.75, 23.736842105263158, 3, 30, 16, 14, 0, 2000, 50000
 "L-L-N-L", "normal", 75, 75, 100, 30, 82, 0.82, 19.329268292682926, 70.08146416166996, 95.35496761879936, 19.890243902439025, 0.9717964438994481, 45, 13.768292682926829, 3, 30, 17, 13, 0, 2000, 50000
 "L-L-N-L", "normal", 75, 75, 100, 30, 80, 0.8, 24.075, 60.840904430766294, 95.53986170589042, 24.8, 0.970766129032258, 49.4, 18.5625, 3, 30, 19, 11, 0, 2000, 50000
 "L-L-N-L", "normal", 75, 75, 100, 30, 71, 0.71, 19.281690140845072, 69.95642764401626, 95.1634540796371, 20.028169014084508, 0.9627285513361463, 54.41379310344828, 15.28169014084507, 3, 30, 15, 15, 0, 2000, 50000
 "H-L-N-L", "normal", 75, 75, 4000, 30, 880, 0.22, 15.182954545454546, 80.77242933545857, 95.445578345177, 16.125, 0.9415785764622975, 59.16378205128205, 8.330681818181818, 3, 30, 17, 13, 0, 2000, 50000
 "H-L-N-L", "normal", 75, 75, 4000, 30, 830, 0.2075, 15.266265060240963, 80.16945095163099, 95.99555857238616, 16.17590361445783, 0.9437658274988828, 59.64984227129337, 11.386746987951808, 3, 30, 15, 15, 0, 2000, 50000
 "H-L-N-L", "normal", 75, 75, 4000, 30, 881, 0.22025, 13.687854710556186, 82.21172420424553, 95.19680258950065, 14.629965947786607, 0.9356040034137636, 59.048733568451425, 8.362088535754824, 3, 30, 17, 13, 0, 2000, 50000
 "H-L-N-L", "normal", 75, 75, 4000, 30, 832, 0.208, 13.919471153846153, 81.90985671537217, 95.49898427721165, 14.861778846153847, 0.9365952284674484, 58.99084595959596, 8.611778846153847, 3, 30, 17, 13, 0, 2000, 50000
 "H-L-N-L", "normal", 75, 75, 4000, 30, 835, 0.20875, 13.895808383233533, 82.39806327133164, 95.38984143769063, 14.841916167664671, 0.9362543371257968, 59.237598736176935, 9.378443113772455, 3, 30, 19, 11, 0, 2000, 50000
 "L-H-N-L", "normal", 75, 75, 100, 30, 99, 0.99, 14.16161616161616, 73.88060872319834, 96.30221235970053, 15.16161616161616, 0.9340439706862091, 33, 12.828282828282829, 3, 500, 248, 253, 0, 2000, 50000
 "L-H-N-L", "normal", 75, 75, 100, 30, 100, 1, 10.26, 80.63715667847254, 98.03905009824012, 11.26, 0.911190053285968, "None", 9.51, 3, 500, 246, 255, 0, 2000, 50000
 "L-H-N-L", "normal", 75, 75, 100, 30, 100, 1, 11.1, 79.88691920232712, 95.28226210732609, 12.09, 0.9181141439205955, "None", 9.21, 3, 500, 244, 257, 0, 2000, 50000
 "L-H-N-L", "normal", 75, 75, 100, 30, 100, 1, 12.18, 78.7707248546905, 96.00000993380898, 13.18, 0.9241274658573596, "None", 10.58, 3, 500, 267, 234, 0, 2000, 50000
 "L-H-N-L", "normal", 75, 75, 100, 30, 100, 1, 9.74, 81.11330798938832, 95.73510501998499, 10.74, 0.9068901303538175, "None", 8.59, 3, 500, 256, 245, 0, 2000, 50000
 "H-H-N-L", "normal", 75, 75, 4000, 30, 3109, 0.77725, 27.041170794467675, 58.83890650067817, 95.35435217848882, 27.382116436153105, 0.9875486015669968, 47.582491582491585, 22.817304599549693, 3, 500, 231, 270, 0, 2000, 50000
 "H-H-N-L", "normal", 75, 75, 4000, 30, 2856, 0.714, 26.16141456582633, 60.802846994981536, 95.11189539457143, 26.64110644257703, 0.9819942960032595, 50.70367132867133, 21.16456582633053, 3, 500, 260, 241, 0, 2000, 50000
 "H-H-N-L", "normal", 75, 75, 4000, 30, 2876, 0.719, 26.93393602225313, 59.68148658185854, 95.53624869578545, 27.377955493741307, 0.9837818615933653, 50.24199288256228, 22.111613351877608, 3, 500, 231, 270, 0, 2000, 50000
 "H-H-N-L", "normal", 75, 75, 4000, 30, 2759, 0.68975, 25.466110909749908, 62.061508509473924, 95.39833750781004, 25.95324392895977, 0.9812303610083094, 52.254633360193395, 20.703515766582093, 3, 500, 241, 260, 0, 2000, 50000
 "H-H-N-L", "normal", 75, 75, 4000, 30, 2614, 0.6535, 26.255164498852334, 61.21901290173212, 95.3527586300607, 26.716143840856923, 0.9827452889627127, 52.932178932178935, 21.69319051262433, 3, 500, 252, 249, 0, 2000, 50000
 "L-L-N-H", "normal", 75, 75, 100, 30, 54, 0.54, 20.962962962962962, 69.36127761910849, 96.57168933711507, 20.62962962962963, 1.016157989228007, 53.28260869565217, 18.22222222222222, 15, 30, 15, 15, 0, 2000, 50000
 "L-L-N-H", "normal", 75, 75, 100, 30, 60, 0.6, 18.616666666666667, 73.52742398452715, 96.82257826829479, 18.6, 1.0008960573476702, 57.425, 16.016666666666666, 15, 30, 13, 17, 0, 2000, 50000
 "L-L-N-H", "normal", 75, 75, 100, 30, 73, 0.73, 26, 61.3484779204385, 95.17470179412378, 25.82191780821918, 1.006896551724138, 52.18518518518518, 18.328767123287673, 15, 30, 14, 16, 0, 2000, 50000
 "L-L-N-H", "normal", 75, 75, 100, 30, 50, 0.5, 19.98, 69.72491987635233, 96.67977371497872, 20.04, 0.9970059880239521, 52.22, 16.78, 15, 30, 15, 15, 0, 2000, 50000
